Country,Year,Total Exported Value(Crops),Predicted Scaled Value,Mean Error
Afghanistan,2019,-0.28961878974638755,0.077576995,0.3671957846423226
Afghanistan,2020,-0.27079242224253514,-0.3621608,0.09136837964497707
Afghanistan,2021,-0.2660349166028994,-0.07019116,0.1958437567585009
Albania,2019,-0.37588821245981263,-0.036931932,0.33895628048730897
Albania,2020,-0.37045004129262127,-0.3574556,0.012994430063678397
Albania,2021,-0.370598074602032,-0.106297426,0.2643006486763003
Algeria,2019,-0.32307366941705806,0.051583983,0.37465765242115123
Algeria,2020,-0.3055325885889267,-0.26635695,0.03917564355108488
Algeria,2021,-0.30011189981229175,-0.18186274,0.11824915810353626
Angola,2019,-0.3813166238656778,0.02581092,0.40712754356773084
Angola,2020,-0.38693184079787296,-0.2461702,0.14076164784094852
Angola,2021,-0.3875609827904779,-0.1948,0.1927609784274179
Antigua and Barbuda,2019,-0.38981262780387577,0.05334213,0.44315475783903774
Antigua and Barbuda,2020,-0.38982679365443723,-0.32766178,0.06216501115130918
Antigua and Barbuda,2021,-0.3898506234817762,-0.20111203,0.18873859154513067
Argentina,2019,2.5270563646299267,0.06561346,2.461442901108923
Argentina,2020,2.5520559316911675,-0.19681147,2.7488673991003014
Argentina,2021,3.32221210093544,-0.14899613,3.471208230567436
Armenia,2019,-0.3234290369340881,0.03833782,0.3617668562123283
Armenia,2020,-0.3229315850122903,-0.43611783,0.11318624288001317
Armenia,2021,-0.31741416068333084,-0.10153349,0.21588067324417526
Australia,2019,1.2307061237012316,0.04365219,1.1870539319430757
Australia,2020,1.273587968125757,-0.29072708,1.5643150470403993
Australia,2021,2.551859845326254,-0.1193508,2.671210643754313
Austria,2019,0.21969637850914256,0.10385406,0.11584231833610789
Austria,2020,0.26072571897600677,-0.29888827,0.5596139850625852
Austria,2021,0.3421832338470725,-0.050740674,0.39292390798514165
Azerbaijan,2019,-0.27133235632207187,-0.024365589,0.24696676729943545
Azerbaijan,2020,-0.2699694328488403,-0.231746,0.03822342981710963
Azerbaijan,2021,-0.26178075192436157,-0.28890586,0.027125107069168708
Bahamas,2019,-0.3896649365821387,0.19345547,0.5831204091706779
Bahamas,2020,-0.38983473521977846,-0.44277126,0.05293652075022276
Bahamas,2021,-0.38983171458562116,-0.13825125,0.2515804695638011
Bahrain,2019,-0.34900256553575265,0.1483378,0.4973403618662046
Bahrain,2020,-0.34851271480206103,-0.21526554,0.13324717253330798
Bahrain,2021,-0.35716296436182116,-0.099309504,0.25785346032968615
Bangladesh,2019,-0.32371978922090094,0.14504036,0.46876015229424994
Bangladesh,2020,-0.32005334998033214,-0.22652829,0.09352506304643321
Bangladesh,2021,-0.2972184914815736,-0.023972183,0.27324630801561595
Barbados,2019,-0.3843556469459547,0.082347415,0.46670306233358516
Barbados,2020,-0.38478637124615117,-0.28171897,0.1030674019010584
Barbados,2021,-0.3845239814483517,-0.17523102,0.20929295682543453
Belarus,2019,-0.20054059803443236,0.16200025,0.3625408518310098
Belarus,2020,-0.1934218390699189,-0.30975938,0.11633753936330865
Belarus,2021,-0.1309338382896996,-0.24515197,0.11421812852052685
Belgium,2019,2.849459057975592,0.016057793,2.8334012649245874
Belgium,2020,2.9259902811488967,-0.28563672,3.211627004190431
Belgium,2021,3.309003750351391,-0.15230319,3.4613069393906213
Belize,2019,-0.36243275997609464,0.15184733,0.5142800926920827
Belize,2020,-0.36501321281954857,-0.394377,0.029363780359772718
Belize,2021,-0.36168138492641766,-0.19019537,0.1714860181861909
Benin,2019,-0.36060213594603324,0.032368198,0.39297033398318076
Benin,2020,-0.36594527344707595,-0.31705344,0.048891836214104756
Benin,2021,-0.36927177503512987,-0.13435197,0.23491980626987108
Bhutan,2019,-0.38607077875655116,-0.029917926,0.356152853160314
Bhutan,2020,-0.3870211188389143,-0.35729992,0.029721194942124773
Bhutan,2021,-0.38649417211790366,0.02098827,0.4074824427582769
Bolivia (Plurinational State of),2019,-0.27474508966043415,0.03778404,0.3125291296346468
Bolivia (Plurinational State of),2020,-0.26806876294674414,-0.35263598,0.08456721670566064
Bolivia (Plurinational State of),2021,-0.20327853435927862,-0.17086716,0.032411374396624504
Bosnia and Herzegovina,2019,-0.3492969148744528,0.13024773,0.47954464191092894
Bosnia and Herzegovina,2020,-0.34826252898201526,-0.12867561,0.21958691915497364
Bosnia and Herzegovina,2021,-0.3453779157253839,-0.15499046,0.19038745127645507
Botswana,2019,-0.38729376100428975,0.12210026,0.5093940173877087
Botswana,2020,-0.3870924937215606,-0.16492148,0.22217101628454128
Botswana,2021,-0.38599390994586763,-0.07939645,0.306597460916422
Brazil,2019,3.0315642158596767,0.11564633,2.9159178833573116
Brazil,2020,3.3252356069188456,-0.31142592,3.636661531219993
Brazil,2021,3.4604284297252126,-0.14148039,3.601908815982384
Brunei Darussalam,2019,-0.38948007582423266,-0.0041697025,0.38531037329432544
Brunei Darussalam,2020,-0.38971481125450286,-0.30588335,0.0838314632663742
Brunei Darussalam,2021,-0.38946963701887455,-0.2559669,0.13350273523969974
Bulgaria,2019,0.11118852373490447,0.105054006,0.00613451775441283
Bulgaria,2020,0.10478818993535238,-0.21102193,0.3158101199146767
Bulgaria,2021,0.3008157345835959,-0.21108247,0.5118982079808508
Burkina Faso,2019,-0.3494559993261573,0.10721672,0.456672722589421
Burkina Faso,2020,-0.3538224833609879,-0.2706561,0.08316637450478676
Burkina Faso,2021,-0.34711492233226515,-0.10294752,0.2441674041027806
Burundi,2019,-0.3872629987702464,0.07638197,0.46364496524191845
Burundi,2020,-0.38678524254625285,-0.31000483,0.07678041218584025
Burundi,2021,-0.38775502005022666,-0.114519164,0.27323585608404777
Cabo Verde,2019,-0.38980389088469347,-0.009657882,0.3801460087307056
Cabo Verde,2020,-0.3897736742804894,-0.24588501,0.14388865974649284
Cabo Verde,2021,-0.38980477689176796,-0.2582085,0.13159626363188026
Cambodia,2019,-0.27497437734450314,-0.009893611,0.2650807662710092
Cambodia,2020,-0.2578292903655118,-0.29969442,0.04186512854165375
Cambodia,2021,-0.24500464584136886,-0.11295104,0.13205360557342452
Cameroon,2019,-0.3747879490336425,0.1943613,0.5691492483099945
Cameroon,2020,-0.3738555651332637,-0.21840239,0.15545317942159376
Cameroon,2021,-0.3675472152882505,-0.21325557,0.154291645949452
Canada,2019,3.532956719117867,0.08690701,3.4460497123176923
Canada,2020,3.9935996822591373,-0.2333258,4.226925476598318
Canada,2021,4.673107071995999,-0.15285715,4.825964226603772
Central African Republic,2019,-0.3898544155236374,0.19894822,0.5888026349421631
Central African Republic,2020,-0.3898169979739053,-0.17190439,0.21791261288403102
Central African Republic,2021,-0.38985142567737063,-0.17979756,0.21005386570079287
Chad,2019,-0.38983965957183914,0.11541647,0.505256126761628
Chad,2020,-0.38971631815070484,-0.36575305,0.023963263531869394
Chad,2021,-0.3894932752771163,-0.13890232,0.25059095381925345
Chile,2019,0.9746387988364531,0.058981404,0.9156573951279952
Chile,2020,0.9523526164677286,-0.22155961,1.1739122304108287
Chile,2021,1.0141508692926597,-0.27394345,1.2880943233198356
"China, Hong Kong SAR",2019,0.5003928271143585,-0.004776232,0.5051690590589195
